Sample #,Start time,Thread name,Label,Sample time (ms),Status,Bytes,Sent bytes,Latency,Connect time(ms)
1,14:06.4,Thread Group 1-1,GET,1059,Success,12501,142,1059,287
2,14:07.4,Thread Group 1-2,GET,1058,Success,12501,142,1058,107
3,14:07.5,Thread Group 1-1,POST save,1014,Success,12694,437,119,0
4,14:08.4,Thread Group 1-3,GET,959,Success,12501,142,958,99
5,14:08.5,Thread Group 1-2,POST save,897,Success,12694,437,121,0
6,14:08.5,Thread Group 1-1,POST send,1704,Success,12694,372,892,72
7,14:09.4,Thread Group 1-4,GET,781,Success,12501,142,780,76
8,14:09.4,Thread Group 1-3,POST save,821,Success,12694,437,115,0
9,14:10.2,Thread Group 1-4,POST save,925,Success,12694,437,256,0
10,14:10.4,Thread Group 1-5,GET,755,Success,12501,142,755,82
11,14:10.2,Thread Group 1-1,DELETE URL,1079,Success,12694,376,341,0
12,14:11.3,Thread Group 1-1,GET,676,Success,12501,142,675,0
13,14:11.2,Thread Group 1-5,POST save,792,Success,12694,437,114,0
14,14:11.4,Thread Group 1-6,GET,746,Success,12501,142,746,72
15,14:11.1,Thread Group 1-4,POST send,1507,Success,12694,372,754,0
16,14:09.4,Thread Group 1-2,POST send,3362,Success,12694,372,2632,0
17,14:12.0,Thread Group 1-1,POST save,855,Success,12694,437,147,0
18,14:10.2,Thread Group 1-3,POST send,2626,Success,12694,372,1903,0
19,14:12.2,Thread Group 1-6,POST save,786,Success,12694,437,109,0
20,14:12.4,Thread Group 1-7,GET,734,Success,12501,142,734,79
21,14:12.0,Thread Group 1-5,POST send,1471,Success,12694,372,727,0
22,14:12.7,Thread Group 1-4,DELETE URL,969,Success,12694,376,313,0
23,14:12.8,Thread Group 1-2,DELETE URL,931,Success,12694,376,260,0
24,14:12.8,Thread Group 1-3,DELETE URL,933,Success,12694,376,253,0
25,14:13.2,Thread Group 1-7,POST save,792,Success,12694,437,118,0
26,14:13.4,Thread Group 1-8,GET,804,Success,12501,142,804,69
27,14:13.6,Thread Group 1-4,GET,653,Success,12501,142,653,0
28,14:13.7,Thread Group 1-2,GET,659,Success,12501,142,659,0
29,14:12.8,Thread Group 1-1,POST send,1538,Success,12694,372,865,91
30,14:13.5,Thread Group 1-5,DELETE URL,929,Success,12694,376,257,0
31,14:13.8,Thread Group 1-3,GET,688,Success,12501,142,687,0
32,14:14.4,Thread Group 1-5,GET,650,Success,12501,142,650,0
33,14:14.2,Thread Group 1-8,POST save,826,Success,12694,437,141,0
34,14:14.3,Thread Group 1-4,POST save,863,Success,12694,437,209,80
35,14:14.4,Thread Group 1-9,GET,748,Success,12501,142,748,71
36,14:14.4,Thread Group 1-2,POST save,866,Success,12694,437,198,78
37,14:14.4,Thread Group 1-1,DELETE URL,939,Success,12694,376,263,0
38,14:14.5,Thread Group 1-3,POST save,882,Success,12694,437,208,75
39,14:14.0,Thread Group 1-7,POST send,1484,Success,12694,372,757,0
40,14:15.0,Thread Group 1-5,POST save,861,Success,12694,437,198,75
41,14:15.2,Thread Group 1-9,POST save,801,Success,12694,437,125,0
42,14:15.3,Thread Group 1-1,GET,778,Success,12501,142,778,80
43,14:15.4,Thread Group 1-10,GET,769,Success,12501,142,768,74
44,14:13.0,Thread Group 1-6,POST send,3420,Success,12694,372,2655,0
45,14:15.4,Thread Group 1-7,DELETE URL,953,Success,12694,376,280,0
46,14:15.1,Thread Group 1-4,POST send,1389,Success,12694,372,717,0
47,14:15.1,Thread Group 1-8,POST send,1496,Success,12694,372,738,0
48,14:16.1,Thread Group 1-1,POST save,802,Success,12694,437,128,0
49,14:16.2,Thread Group 1-10,POST save,794,Success,12694,437,128,0
50,14:16.4,Thread Group 1-7,GET,717,Success,12501,142,717,0
51,14:16.4,Thread Group 1-11,GET,766,Success,12501,142,766,68
52,14:15.9,Thread Group 1-5,POST send,1397,Success,12694,372,733,0
53,14:16.4,Thread Group 1-6,DELETE URL,1000,Success,12694,376,255,0
54,14:16.0,Thread Group 1-9,POST send,1523,Success,12694,372,734,0
55,14:16.6,Thread Group 1-8,DELETE URL,975,Success,12694,376,250,0
56,14:16.5,Thread Group 1-4,DELETE URL,1015,Success,12694,376,318,74
57,14:15.2,Thread Group 1-2,POST send,2534,Success,12694,372,1603,0
58,14:15.4,Thread Group 1-3,POST send,2598,Success,12694,372,1818,0
59,14:17.1,Thread Group 1-7,POST save,963,Success,12694,437,198,76
60,14:17.2,Thread Group 1-11,POST save,901,Success,12694,437,116,0
61,14:17.4,Thread Group 1-6,GET,730,Success,12501,142,730,0
62,14:17.4,Thread Group 1-12,GET,760,Success,12501,142,759,99
63,14:17.5,Thread Group 1-4,GET,737,Success,12501,142,737,0
64,14:17.5,Thread Group 1-8,GET,755,Success,12501,142,755,0
65,14:17.3,Thread Group 1-5,DELETE URL,1034,Success,12694,376,345,83
66,14:17.8,Thread Group 1-2,DELETE URL,1946,Success,12694,376,281,0
67,14:18.1,Thread Group 1-7,POST send,2418,Success,12694,372,1640,0
68,14:20.4,Thread Group 1-15,GET,950,Success,12501,142,950,102
69,14:20.5,Thread Group 1-7,DELETE URL,938,Success,12694,376,248,0
